Country,male_suicide_avg,female_suicide_avg,both_suicide_avg,Temperature
Afghanistan,4.3133333333333335,3.216666666666667,3.776666666666667,13.04
Albania,5.446666666666668,2.8266666666666667,4.14,12.44
Algeria,3.4299999999999997,1.87,2.6733333333333333,23.60
American Samoa,12.28,4.035,8.25,27.38
Andorra,12.24,3.3200000000000003,7.904999999999999,8.27
Angola,10.826666666666666,2.6733333333333333,6.650000000000001,21.77
Antigua and Barbuda,2.62,0.4633333333333334,1.09,27.20
Argentina,16.393333333333334,3.82,9.96,16.30
Armenia,7.793333333333334,2.0799999999999996,4.81,7.82
Australia,19.37666666666667,6.216666666666666,12.743333333333332,22.05
Austria,22.763333333333332,6.72,14.62,7.44
Azerbaijan,4.793333333333333,1.2566666666666666,3.026666666666667,12.96
Bahamas,5.13,0.8433333333333334,2.9066666666666663,25.58
Bahrain,8.19,1.6900000000000002,5.830000000000001,27.69
Bangladesh,5.353333333333333,2.056666666666666,3.69,25.71
Barbados,5.849999999999999,1.0233333333333332,3.3533333333333335,26.61
Belarus,35.81666666666667,7.329999999999999,20.593333333333337,7.45
Belgium,24.573333333333338,9.97,17.176666666666666,10.67
Belize,10.053333333333333,1.4566666666666668,5.739999999999999,25.70
Benin,9.516666666666667,2.8800000000000003,6.166666666666667,28.02
Bermuda,6.82,1.0750000000000002,3.855,21.67
Bhutan,7.136666666666667,3.426666666666667,5.363333333333333,10.38
Bolivia,7.873333333333334,3.673333333333334,5.760000000000001,20.76
Bosnia and Herzegovina,17.926666666666666,4.453333333333333,11.04,10.35
Botswana,19.266666666666666,4.713333333333334,11.86,22.09
Brazil,11.943333333333332,3.1833333333333336,7.476666666666667,25.44
Brunei,5.733333333333334,1.4166666666666667,3.693333333333333,26.95
Bulgaria,19.049999999999997,5.656666666666666,12.15,11.35
Burkina Faso,10.743333333333334,3.193333333333334,6.886666666666667,30.40
Burundi,10.366666666666664,3.3366666666666664,6.823333333333333,20.51
Cambodia,6.626666666666666,2.733333333333333,4.656666666666667,27.41
Cameroon,12.126666666666669,3.4533333333333336,7.786666666666666,24.80
Canada,19.003333333333337,5.923333333333333,12.383333333333336,
Cape Verde,24.179999999999996,4.3566666666666665,14.326666666666666,22.53
Central African Republic,19.066666666666663,4.96,11.893333333333336,25.47
Chad,8.463333333333333,3.1,5.756666666666668,27.63
Chile,16.703333333333333,3.486666666666667,10.006666666666666,9.39
China,10.32,7.109999999999999,8.770000000000001,7.59
Colombia,9.42,2.333333333333333,5.803333333333334,25.00
Comoros,7.536666666666666,4.456666666666667,5.993333333333333,23.73
Cook Islands,16.345,4.635,10.4,24.71
Costa Rica,15.723333333333334,2.51,8.976666666666667,24.83
Croatia,23.296666666666667,7.173333333333333,14.983333333333334,11.96
Cuba,24.376666666666665,6.486666666666667,15.396666666666668,25.81
Cyprus,6.2700000000000005,1.5733333333333333,3.8833333333333337,20.01
Czech Republic,20.31,4.800000000000001,12.44,8.60
Denmark,16.013333333333332,6.473333333333334,11.226666666666668,8.90
Djibouti,9.316666666666666,4.29,6.95,28.49
Dominica,7.42,0.885,4.205,26.83
Dominican Republic,8.473333333333334,1.97,5.233333333333333,24.55
Ecuador,12.823333333333332,3.5500000000000003,8.17,21.43
Egypt,2.3266666666666667,1.0033333333333332,1.6766666666666667,23.14
El Salvador,12.253333333333332,3.286666666666666,7.510000000000001,25.23
Equatorial Guinea,9.983333333333333,3.9,7.216666666666666,24.66
Eritrea,14.96,5.04,10.046666666666669,26.63
Estonia,25.19333333333333,6.006666666666667,15.056666666666668,6.34
Eswatini,39.45333333333334,5.683333333333334,22.23,20.64
Ethiopia,8.813333333333334,2.94,5.896666666666666,23.36
Fiji,12.29,5.553333333333334,8.966666666666667,24.68
Finland,24.06,7.713333333333334,15.783333333333331,2.46
France,21.76,6.563333333333333,13.93,11.65
Gabon,15.96,2.8966666666666665,9.296666666666669,25.20
Gambia,7.603333333333334,3.0833333333333335,5.32,28.38
Georgia,15.133333333333333,3.1466666666666665,8.88,9.01
Germany,18.94333333333333,5.956666666666667,12.396666666666668,9.59
Ghana,10.113333333333332,1.9833333333333336,6.0200000000000005,27.66
Greece,8.58,1.95,5.183333333333333,13.17
Greenland,90.675,30.494999999999997,62.11,
Grenada,5.09,1.4433333333333334,3.3266666666666667,26.49
Guam,30.21,4.84,17.705,27.81
Guatemala,8.753333333333332,2.5966666666666662,5.583333333333333,23.65
Guinea,7.6933333333333325,3.82,5.703333333333333,25.86
Guinea-Bissau,11.936666666666667,4.276666666666666,8.023333333333333,27.98
Guyana,56.370000000000005,12.766666666666666,34.42333333333333,26.12
Haiti,10.766666666666666,5.343333333333334,7.98,24.95
Honduras,5.406666666666666,1.2533333333333332,3.3000000000000003,24.72
Hungary,26.286666666666665,8.293333333333333,16.84,11.50
Iceland,19.5,4.676666666666667,12.17,1.85
India,15.166666666666666,10.893333333333333,13.103333333333332,24.94
Indonesia,2.713333333333334,1.0733333333333337,1.8999999999999997,25.96
Iran,6.8933333333333335,2.3766666666666665,4.64,18.34
Iraq,6.103333333333333,2.0933333333333333,4.15,22.95
Ireland,14.446666666666664,3.5066666666666664,8.92,9.73
Israel,8.486666666666666,2.103333333333333,5.2700000000000005,20.99
Italy,10.159999999999998,2.9499999999999997,6.453333333333333,13.02
Ivory Coast,12.69,2.4566666666666666,7.6933333333333325,26.80
Jamaica,2.8200000000000003,0.6566666666666667,1.7333333333333332,25.91
Japan,24.13333333333333,9.79,16.766666666666666,11.78
Jordan,1.8966666666666667,0.54,1.2433333333333334,20.05
Kazakhstan,30.179999999999996,6.403333333333333,17.943333333333335,7.11
Kenya,10.056666666666668,3.1799999999999997,6.586666666666666,25.08
Kiribati,36.31333333333333,6.256666666666667,20.996666666666663,27.77
Kuwait,3.556666666666666,0.7233333333333333,2.3233333333333337,26.31
Kyrgyzstan,13.646666666666668,3.69,8.606666666666667,2.65
Laos,7.606666666666667,2.983333333333333,5.303333333333334,24.16
Latvia,34.51,6.5566666666666675,19.42,6.87
Lebanon,2.0533333333333332,1.0266666666666666,1.5566666666666666,15.45
Lesotho,60.45,16.27,37.913333333333334,12.38
Liberia,8.056666666666667,3.6566666666666663,5.8999999999999995,25.45
Libya,7.093333333333334,3.18,5.196666666666666,22.81
Lithuania,48.60666666666666,9.2,27.360000000000003,7.38
Luxembourg,13.910000000000002,5.483333333333334,9.75,10.02
Madagascar,8.540000000000001,3.546666666666667,6.02,22.64
Malawi,12.333333333333334,2.603333333333333,283.57,22.66
Malaysia,7.960000000000001,2.1266666666666665,5.14,26.38
Maldives,3.4766666666666666,0.5566666666666666,2.3466666666666667,28.11
Mali,5.28,2.9499999999999997,4.11,29.21
Malta,8.743333333333334,1.97,5.373333333333332,20.06
Marshall Islands,29.04,10.68,20.075,28.01
Mauritania,4.61,2.16,3.3699999999999997,28.82
Mauritius,17.646666666666665,3.6266666666666665,10.56,23.33
Mexico,10.436666666666667,2.3133333333333335,6.29,21.31
Moldova,26.27666666666667,4.293333333333334,14.803333333333333,10.89
Monaco,21.375,9.87,15.46,13.05
Mongolia,28.153333333333332,4.423333333333333,16.143333333333334,1.07
Montenegro,27.180000000000003,8.533333333333333,17.773333333333333,9.93
Morocco,6.07,3.62,4.8500000000000005,18.14
Mozambique,18.01,4.02,10.773333333333332,24.41
Myanmar,5.659999999999999,1.2100000000000002,3.3433333333333333,23.82
Namibia,18.97666666666667,3.473333333333333,10.976666666666668,20.45
Nauru,35.18,11.825,23.605,27.83
Netherlands,15.33,7.640000000000001,11.433333333333332,10.49
New Zealand,16.816666666666666,5.6866666666666665,11.193333333333332,10.46
Nicaragua,8.206666666666665,2.4166666666666665,5.29,25.88
Niger,5.486666666666667,2.783333333333333,4.1466666666666665,28.04
Nigeria,6.5,1.67,4.023333333333333,27.30
Niue,20.64,10.525,15.61,25.03
North Korea,11.883333333333333,8.89,10.383333333333333,6.98
North Macedonia,12.053333333333333,4.696666666666666,8.423333333333334,10.79
Northern Mariana Islands,22.265,5.695,14.4,27.60
Norway,16.52,7.18,11.9,2.21
Oman,3.26,0.5566666666666666,2.33,27.64
Pakistan,10.1,3.483333333333333,6.87,21.38
Palau,17.17,12.385000000000002,15.015,27.90
Palestine,1.22,0.315,0.775,20.04
Panama,7.476666666666667,1.4766666666666666,4.51,25.60
Papua New Guinea,3.3433333333333337,1.66,2.533333333333333,24.74
Paraguay,8.706666666666667,3.0266666666666673,5.903333333333333,23.92
Peru,4.329999999999999,1.4366666666666668,2.89,20.07
Philippines,4.943333333333333,1.356666666666667,3.186666666666666,26.27
Poland,24.936666666666667,3.5433333333333334,13.886666666666663,8.78
Portugal,18.166666666666668,5.646666666666667,11.593333333333334,15.85
Puerto Rico,12.73,2.0549999999999997,7.125,25.04
Qatar,5.8,1.09,4.496666666666666,28.02
Republic of the Congo,12.796666666666669,4.326666666666667,8.543333333333335,24.74
Romania,17.78,3.34,10.353333333333332,10.18
Russia,42.61333333333334,8.733333333333334,24.483333333333334,
Rwanda,10.146666666666668,3.526666666666667,6.7700000000000005,20.03
Saint Kitts and Nevis,4.915,0.735,2.825,27.47
Saint Lucia,13.033333333333331,1.3333333333333333,7.153333333333333,27.00
Saint Vincent and the Grenadines,7.85,0.8433333333333333,4.4366666666666665,26.17
Samoa,17.44,6.896666666666667,12.35,27.58
San Marino,12.53,3.365,7.8,12.83
Saudi Arabia,10.256666666666666,3.036666666666666,7.243333333333333,25.94
Senegal,11.033333333333331,3.1833333333333336,7.086666666666666,28.90
Serbia,21.77,7.47,14.590000000000002,11.40
Seychelles,12.32,1.2933333333333332,7.0566666666666675,27.09
Sierra Leone,7.363333333333333,3.8966666666666665,5.623333333333334,26.54
Singapore,12.026666666666666,5.87,9.033333333333331,27.68
Slovakia,21.333333333333332,3.6566666666666663,12.29,8.83
Slovenia,29.063333333333333,7.06,17.996666666666666,9.86
Solomon Islands,27.27333333333333,6.659999999999999,17.173333333333332,25.92
Somalia,8.770000000000001,4.213333333333334,6.510000000000001,26.95
South Africa,29.463333333333335,6.87,17.966666666666665,18.23
South Korea,37.92333333333333,15.346666666666666,26.679999999999996,12.22
South Sudan,10.113333333333332,3.213333333333334,6.69,27.97
Spain,11.613333333333332,3.89,7.66,13.07
Sri Lanka,24.209999999999997,6.47,15.043333333333331,27.25
Sudan,5.250000000000001,3.036666666666666,4.140000000000001,27.95
Suriname,38.776666666666664,10.836666666666668,24.723333333333333,26.58
Sweden,18.163333333333338,8.46,13.333333333333334,3.23
Switzerland,18.22,7.0,12.566666666666668,6.47
Syria,2.0233333333333334,0.4933333333333333,1.26,18.75
Tajikistan,5.1866666666666665,2.14,3.693333333333334,3.85
Tanzania,8.12,2.3966666666666665,5.203333333333333,22.92
Thailand,18.36,3.926666666666667,10.916666666666666,26.85
Timor-Leste,5.489999999999999,2.3266666666666667,3.94,24.57
Togo,12.876666666666663,3.6566666666666663,8.19,27.33
Tokelau,19.625,12.010000000000002,15.89,28.71
Tonga,5.633333333333333,3.0733333333333337,4.353333333333333,25.01
Trinidad and Tobago,20.17,4.14,12.15,26.55
Tunisia,4.5,1.7899999999999998,3.14,20.53
Turkey,5.1899999999999995,1.51,3.3533333333333335,11.66
Turkmenistan,12.65,4.006666666666667,8.383333333333335,16.66
Tuvalu,23.855,8.620000000000001,16.549999999999997,28.62
Uganda,9.083333333333334,1.9066666666666665,5.44,23.25
Ukraine,40.52,7.083333333333333,22.55666666666667,9.27
United Arab Emirates,4.6499999999999995,1.9266666666666667,3.82,28.17
United Kingdom,12.623333333333337,3.926666666666667,8.219999999999999,9.24
United States,24.486666666666665,6.963333333333334,15.576666666666668,9.46
United States Virgin Islands,13.785,1.73,7.58,26.98
Uruguay,35.086666666666666,7.73,20.853333333333335,17.97
Uzbekistan,11.996666666666664,5.433333333333334,8.693333333333333,13.06
Vanuatu,26.05333333333333,7.516666666666666,16.893333333333334,24.44
Venezuela,10.593333333333334,1.8333333333333337,6.090000000000001,25.71
Vietnam,10.783333333333331,4.946666666666666,7.843333333333334,24.79
Yemen,5.413333333333334,3.1799999999999997,4.306666666666667,25.54
Zambia,13.016666666666666,2.9033333333333338,7.913333333333333,22.23
Zimbabwe,24.356666666666666,9.123333333333331,16.423333333333336,21.90
